ligand_id,input_path,output_path,num_atoms,num_branches,num_replacements,replacements,status
CAND_893be87c2e,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt/CAND_893be87c2e.pdbqt,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt_vina_gpu_clean/CAND_893be87c2e.pdbqt,49,10,4,CG->C:2;G0->C:2,cleaned
CAND_8b6de06a0f,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt/CAND_8b6de06a0f.pdbqt,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt_vina_gpu_clean/CAND_8b6de06a0f.pdbqt,36,10,4,CG->C:2;G0->C:2,cleaned
CAND_8f245c542f,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt/CAND_8f245c542f.pdbqt,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt_vina_gpu_clean/CAND_8f245c542f.pdbqt,48,10,4,CG->C:2;G0->C:2,cleaned
CAND_91833501ec,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt/CAND_91833501ec.pdbqt,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt_vina_gpu_clean/CAND_91833501ec.pdbqt,38,12,4,CG->C:2;G0->C:2,cleaned
CAND_94f502517a,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt/CAND_94f502517a.pdbqt,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt_vina_gpu_clean/CAND_94f502517a.pdbqt,41,11,4,CG->C:2;G0->C:2,cleaned
CAND_956024a173,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt/CAND_956024a173.pdbqt,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt_vina_gpu_clean/CAND_956024a173.pdbqt,35,9,4,CG->C:2;G0->C:2,cleaned
CAND_97556b1c56,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt/CAND_97556b1c56.pdbqt,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt_vina_gpu_clean/CAND_97556b1c56.pdbqt,34,8,4,CG->C:2;G0->C:2,cleaned
CAND_9b2dbc98ed,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt/CAND_9b2dbc98ed.pdbqt,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt_vina_gpu_clean/CAND_9b2dbc98ed.pdbqt,45,8,4,CG->C:2;G0->C:2,cleaned
CAND_9c6324c16c,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt/CAND_9c6324c16c.pdbqt,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt_vina_gpu_clean/CAND_9c6324c16c.pdbqt,43,8,4,CG->C:2;G0->C:2,cleaned
CAND_9d4c5cab6d,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt/CAND_9d4c5cab6d.pdbqt,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt_vina_gpu_clean/CAND_9d4c5cab6d.pdbqt,36,9,4,CG->C:2;G0->C:2,cleaned
CAND_9f32e71b10,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt/CAND_9f32e71b10.pdbqt,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt_vina_gpu_clean/CAND_9f32e71b10.pdbqt,42,8,4,CG->C:2;G0->C:2,cleaned
CAND_a28891a72c,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt/CAND_a28891a72c.pdbqt,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt_vina_gpu_clean/CAND_a28891a72c.pdbqt,36,9,4,CG->C:2;G0->C:2,cleaned
